day_name,month,day,hour,demand
Friday,1,5,0,7
Friday,1,5,1,2
Friday,1,5,2,4
Friday,1,5,4,4
Friday,1,5,5,18
Friday,1,5,6,61
Friday,1,5,7,181
Friday,1,5,8,257
Friday,1,5,9,225
Friday,1,5,10,212
Friday,1,5,12,58
Friday,1,5,13,90
Friday,1,5,14,83
Friday,1,5,15,258
Friday,1,5,17,330
Friday,1,5,18,362
Friday,1,5,20,58
Friday,1,5,21,17
Friday,1,5,22,31
Friday,1,12,0,16
Friday,1,12,1,2
Friday,1,12,3,1
Friday,1,12,4,3
Friday,1,12,5,22
Friday,1,12,6,77
Friday,1,12,7,516
Friday,1,12,9,752
Friday,1,12,11,162
Friday,1,12,12,386
Friday,1,12,14,160
Friday,1,12,15,376
Friday,1,12,16,335
Friday,1,12,18,328
Friday,1,12,19,176
Friday,1,12,20,192
Friday,1,12,22,46
Friday,1,12,23,47
Friday,1,19,1,10
Friday,1,19,3,2
Friday,1,19,4,6
Friday,1,19,5,21
Friday,1,19,6,85
Friday,1,19,7,243
Friday,1,19,8,541
Friday,1,19,9,397
Friday,1,19,10,173
Friday,1,19,11,169
Friday,1,19,12,180
Friday,1,19,13,165
Friday,1,19,14,126
Friday,1,19,15,186
Friday,1,19,16,283
Friday,1,19,17,497
Friday,1,19,18,346
Friday,1,19,19,157
Friday,1,19,20,76
Friday,1,19,21,68
Friday,1,19,22,66
Friday,1,19,23,33
Friday,1,26,0,18
Friday,1,26,1,9
Friday,1,26,2,5
Friday,1,26,3,1
Friday,1,26,4,7
Friday,1,26,5,22
Friday,1,26,6,85
Friday,1,26,7,258
Friday,1,26,8,486
Friday,1,26,9,441
Friday,1,26,10,193
Friday,1,26,11,158
Friday,1,26,12,168
Friday,1,26,13,156
Friday,1,26,14,134
Friday,1,26,15,192
Friday,1,26,16,317
Friday,1,26,17,472
Friday,1,26,18,328
Friday,1,26,19,153
Friday,1,26,20,78
Friday,1,26,21,63
Friday,1,26,22,56
Friday,1,26,23,46
Friday,2,2,0,16
Friday,2,2,1,13
Friday,2,2,2,7
Friday,2,2,3,2
Friday,2,2,4,4
Friday,2,2,5,18
Friday,2,2,6,94
Friday,2,2,7,275
Friday,2,2,8,601
Friday,2,2,9,456
Friday,2,2,10,200
Friday,2,2,11,180
Friday,2,2,12,212
Friday,2,2,13,175
Friday,2,2,14,191
Friday,2,2,15,227
Friday,2,2,16,396
Friday,2,2,17,532
Friday,2,2,18,372
Friday,2,2,19,202
Friday,2,2,20,134
Friday,2,2,21,120
Friday,2,2,22,74
Friday,2,2,23,71
Friday,2,9,0,23
Friday,2,9,1,5
Friday,2,9,2,4
Friday,2,9,3,3
Friday,2,9,4,6
Friday,2,9,5,25
Friday,2,9,6,116
Friday,2,9,7,278
Friday,2,9,8,624
Friday,2,9,9,505
Friday,2,9,10,232
Friday,2,9,11,212
Friday,2,9,12,214
Friday,2,9,13,215
Friday,2,9,14,222
Friday,2,9,15,268
Friday,2,9,16,404
Friday,2,9,17,540
Friday,2,9,18,387
Friday,2,9,19,215
Friday,2,9,20,129
Friday,2,9,21,106
Friday,2,9,22,78
Friday,2,9,23,57
Friday,2,16,0,25
Friday,2,16,1,11
Friday,2,16,2,4
Friday,2,16,3,2
Friday,2,16,4,4
Friday,2,16,5,18
Friday,2,16,6,82
Friday,2,16,7,252
Friday,2,16,8,514
Friday,2,16,9,414
Friday,2,16,10,239
Friday,2,16,11,201
Friday,2,16,12,202
Friday,2,16,13,214
Friday,2,16,14,196
Friday,2,16,15,238
Friday,2,16,16,426
Friday,2,16,17,546
Friday,2,16,18,345
Friday,2,16,19,180
Friday,2,16,20,96
Friday,2,16,21,62
Friday,2,16,22,71
Friday,2,16,23,24
Friday,2,23,0,15
Friday,2,23,1,11
Friday,2,23,2,3
Friday,2,23,3,2
Friday,2,23,4,7
Friday,2,23,5,18
Friday,2,23,6,93
Friday,2,23,7,251
Friday,2,23,8,519
Friday,2,23,9,367
Friday,2,23,10,176
Friday,2,23,11,147
Friday,2,23,12,175
Friday,2,23,13,156
Friday,2,23,14,143
Friday,2,23,15,202
Friday,2,23,16,304
Friday,2,23,17,458
Friday,2,23,18,321
Friday,2,23,19,171
Friday,2,23,20,106
Friday,2,23,21,90
Friday,2,23,22,53
Friday,2,23,23,47
Friday,3,2,0,14
Friday,3,2,2,4
Friday,3,2,3,4
Friday,3,2,4,6
Friday,3,2,5,13
Friday,3,2,6,78
Friday,3,2,7,200
Friday,3,2,8,483
Friday,3,2,9,307
Friday,3,2,10,154
Friday,3,2,11,149
Friday,3,2,12,146
Friday,3,2,13,53
Friday,3,2,14,188
Friday,3,2,16,143
Friday,3,2,17,280
Friday,3,2,18,237
Friday,3,2,19,98
Friday,3,2,20,86
Friday,3,2,21,48
Friday,3,2,22,72
Friday,3,9,0,23
Friday,3,9,1,11
Friday,3,9,2,5
Friday,3,9,3,1
Friday,3,9,4,8
Friday,3,9,5,16
Friday,3,9,6,92
Friday,3,9,7,294
Friday,3,9,8,558
Friday,3,9,9,818
Friday,3,9,11,164
Friday,3,9,12,226
Friday,3,9,13,193
Friday,3,9,14,156
Friday,3,9,15,229
Friday,3,9,16,764
Friday,3,9,17,522
Friday,3,9,18,365
Friday,3,9,19,176
Friday,3,9,21,77
Friday,3,9,22,104
Friday,3,9,23,46
Friday,3,16,0,9
Friday,3,16,1,8
Friday,3,16,2,4
Friday,3,16,3,4
Friday,3,16,5,18
Friday,3,16,6,62
Friday,3,16,7,162
Friday,3,16,8,357
Friday,3,16,9,272
Friday,3,16,10,336
Friday,3,16,12,165
Friday,3,16,13,312
Friday,3,16,14,172
Friday,3,16,16,301
Friday,3,16,17,523
Friday,3,16,18,385
Friday,3,16,19,182
Friday,3,16,20,111
Friday,3,16,21,111
Friday,3,16,22,63
Friday,3,16,23,37
Friday,3,23,0,15
Friday,3,23,1,9
Friday,3,23,2,4
Friday,3,23,3,5
Friday,3,23,4,7
Friday,3,23,5,14
Friday,3,23,6,73
Friday,3,23,7,258
Friday,3,23,8,533
Friday,3,23,9,435
Friday,3,23,10,193
Friday,3,23,11,189
Friday,3,23,12,210
Friday,3,23,13,211
Friday,3,23,14,164
Friday,3,23,15,227
Friday,3,23,16,367
Friday,3,23,17,528
Friday,3,23,18,333
Friday,3,23,19,226
Friday,3,23,20,141
Friday,3,23,21,69
Friday,3,23,22,56
Friday,3,23,23,51
Friday,3,30,0,24
Friday,3,30,1,13
Friday,3,30,2,14
Friday,3,30,3,5
Friday,3,30,4,4
Friday,3,30,5,21
Friday,3,30,6,81
Friday,3,30,7,233
Friday,3,30,8,604
Friday,3,30,9,489
Friday,3,30,10,246
Friday,3,30,11,189
Friday,3,30,12,234
Friday,3,30,13,231
Friday,3,30,14,197
Friday,3,30,15,273
Friday,3,30,16,363
Friday,3,30,17,552
Friday,3,30,18,358
Friday,3,30,19,233
Friday,3,30,20,140
Friday,3,30,21,106
Friday,3,30,22,89
Friday,3,30,23,61
Friday,4,6,0,8
Friday,4,6,1,3
Friday,4,6,2,2
Friday,4,6,3,3
Friday,4,6,4,5
Friday,4,6,5,4
Friday,4,6,6,34
Friday,4,6,7,100
Friday,4,6,8,247
Friday,4,6,10,108
Friday,4,6,12,35
Friday,4,6,13,60
Friday,4,6,14,46
Friday,4,6,16,81
Friday,4,6,17,232
Friday,4,6,19,96
Friday,4,6,21,19
Friday,4,6,22,52
Friday,4,13,0,18
Friday,4,13,1,9
Friday,4,13,2,9
Friday,4,13,3,4
Friday,4,13,4,7
Friday,4,13,5,26
Friday,4,13,6,85
Friday,4,13,7,259
Friday,4,13,8,599
Friday,4,13,9,456
Friday,4,13,10,200
Friday,4,13,11,198
Friday,4,13,12,205
Friday,4,13,13,212
Friday,4,13,14,240
Friday,4,13,15,249
Friday,4,13,16,400
Friday,4,13,17,559
Friday,4,13,18,466
Friday,4,13,19,249
Friday,4,13,20,160
Friday,4,13,21,91
Friday,4,13,22,94
Friday,4,13,23,62
Friday,4,20,0,14
Friday,4,20,1,11
Friday,4,20,2,8
Friday,4,20,3,7
Friday,4,20,4,7
Friday,4,20,5,18
Friday,4,20,6,74
Friday,4,20,7,276
Friday,4,20,8,566
Friday,4,20,9,479
Friday,4,20,10,235
Friday,4,20,11,215
Friday,4,20,12,200
Friday,4,20,13,234
Friday,4,20,14,213
Friday,4,20,15,278
Friday,4,20,16,404
Friday,4,20,17,599
Friday,4,20,18,462
Friday,4,20,19,216
Friday,4,20,20,101
Friday,4,20,21,130
Friday,4,20,22,74
Friday,4,20,23,65
Friday,4,27,0,33
Friday,4,27,1,12
Friday,4,27,2,4
Friday,4,27,3,10
Friday,4,27,4,6
Friday,4,27,5,23
Friday,4,27,6,102
Friday,4,27,7,328
Friday,4,27,8,1356
Friday,4,27,9,599
Friday,4,27,11,251
Friday,4,27,12,270
Friday,4,27,13,234
Friday,4,27,14,251
Friday,4,27,15,294
Friday,4,27,16,514
Friday,4,27,17,788
Friday,4,27,18,478
Friday,4,27,19,315
Friday,4,27,20,168
Friday,4,27,21,132
Friday,4,27,22,133
Friday,4,27,23,100
Friday,5,4,0,31
Friday,5,4,1,19
Friday,5,4,2,7
Friday,5,4,3,10
Friday,5,4,4,10
Friday,5,4,5,31
Friday,5,4,6,105
Friday,5,4,7,382
Friday,5,4,8,706
Friday,5,4,9,595
Friday,5,4,10,326
Friday,5,4,11,256
Friday,5,4,12,305
Friday,5,4,13,276
Friday,5,4,14,265
Friday,5,4,15,362
Friday,5,4,16,505
Friday,5,4,17,748
Friday,5,4,18,535
Friday,5,4,19,338
Friday,5,4,20,178
Friday,5,4,21,152
Friday,5,4,22,105
Friday,5,4,23,84
Friday,5,11,0,39
Friday,5,11,1,7
Friday,5,11,2,9
Friday,5,11,3,14
Friday,5,11,4,12
Friday,5,11,5,31
Friday,5,11,6,125
Friday,5,11,7,404
Friday,5,11,8,749
Friday,5,11,9,625
Friday,5,11,10,281
Friday,5,11,11,277
Friday,5,11,12,327
Friday,5,11,13,295
Friday,5,11,14,292
Friday,5,11,15,390
Friday,5,11,16,556
Friday,5,11,17,820
Friday,5,11,18,556
Friday,5,11,19,367
Friday,5,11,20,222
Friday,5,11,21,172
Friday,5,11,22,120
Friday,5,11,23,94
Friday,5,18,0,23
Friday,5,18,1,13
Friday,5,18,2,3
Friday,5,18,3,6
Friday,5,18,4,7
Friday,5,18,5,31
Friday,5,18,6,110
Friday,5,18,7,682
Friday,5,18,9,507
Friday,5,18,10,282
Friday,5,18,11,260
Friday,5,18,12,300
Friday,5,18,13,294
Friday,5,18,14,271
Friday,5,18,15,660
Friday,5,18,17,760
Friday,5,18,18,602
Friday,5,18,19,333
Friday,5,18,20,213
Friday,5,18,21,143
Friday,5,18,22,113
Friday,5,18,23,77
Friday,5,25,0,45
Friday,5,25,1,8
Friday,5,25,2,10
Friday,5,25,3,6
Friday,5,25,4,7
Friday,5,25,5,20
Friday,5,25,6,92
Friday,5,25,7,302
Friday,5,25,8,685
Friday,5,25,9,524
Friday,5,25,10,272
Friday,5,25,11,604
Friday,5,25,13,288
Friday,5,25,14,290
Friday,5,25,15,383
Friday,5,25,16,514
Friday,5,25,17,667
Friday,5,25,18,500
Friday,5,25,19,323
Friday,5,25,20,199
Friday,5,25,21,129
Friday,5,25,22,124
Friday,5,25,23,70
Friday,6,1,0,34
Friday,6,1,1,11
Friday,6,1,2,4
Friday,6,1,3,3
Friday,6,1,4,7
Friday,6,1,5,45
Friday,6,1,6,130
Friday,6,1,7,394
Friday,6,1,8,767
Friday,6,1,9,619
Friday,6,1,10,305
Friday,6,1,11,266
Friday,6,1,12,319
Friday,6,1,13,279
Friday,6,1,14,248
Friday,6,1,15,356
Friday,6,1,16,584
Friday,6,1,17,864
Friday,6,1,18,678
Friday,6,1,19,377
Friday,6,1,20,248
Friday,6,1,21,203
Friday,6,1,22,152
Friday,6,1,23,131
Friday,6,8,0,20
Friday,6,8,1,10
Friday,6,8,2,6
Friday,6,8,3,5
Friday,6,8,4,11
Friday,6,8,5,39
Friday,6,8,6,116
Friday,6,8,7,447
Friday,6,8,8,802
Friday,6,8,9,626
Friday,6,8,10,314
Friday,6,8,11,252
Friday,6,8,12,337
Friday,6,8,13,304
Friday,6,8,14,278
Friday,6,8,15,425
Friday,6,8,16,572
Friday,6,8,17,839
Friday,6,8,18,520
Friday,6,8,19,288
Friday,6,8,20,233
Friday,6,8,21,171
Friday,6,8,22,119
Friday,6,8,23,98
Friday,6,15,0,33
Friday,6,15,1,9
Friday,6,15,2,9
Friday,6,15,3,3
Friday,6,15,4,9
Friday,6,15,5,47
Friday,6,15,6,143
Friday,6,15,7,414
Friday,6,15,8,868
Friday,6,15,9,659
Friday,6,15,10,320
Friday,6,15,11,263
Friday,6,15,12,582
Friday,6,15,14,269
Friday,6,15,15,357
Friday,6,15,16,550
Friday,6,15,17,789
Friday,6,15,18,578
Friday,6,15,19,338
Friday,6,15,20,191
Friday,6,15,21,125
Friday,6,15,22,109
Friday,6,15,23,90
Friday,6,22,0,46
Friday,6,22,1,23
Friday,6,22,2,14
Friday,6,22,3,11
Friday,6,22,4,13
Friday,6,22,5,49
Friday,6,22,6,132
Friday,6,22,7,454
Friday,6,22,8,839
Friday,6,22,9,651
Friday,6,22,10,315
Friday,6,22,11,275
Friday,6,22,12,347
Friday,6,22,13,275
Friday,6,22,14,304
Friday,6,22,15,387
Friday,6,22,16,573
Friday,6,22,17,899
Friday,6,22,18,634
Friday,6,22,19,431
Friday,6,22,20,252
Friday,6,22,21,173
Friday,6,22,22,166
Friday,6,22,23,96
Friday,6,29,0,33
Friday,6,29,1,10
Friday,6,29,2,5
Friday,6,29,3,3
Friday,6,29,4,11
Friday,6,29,5,47
Friday,6,29,6,154
Friday,6,29,7,436
Friday,6,29,8,884
Friday,6,29,9,676
Friday,6,29,10,289
Friday,6,29,11,279
Friday,6,29,12,322
Friday,6,29,13,319
Friday,6,29,14,321
Friday,6,29,15,405
Friday,6,29,16,598
Friday,6,29,17,897
Friday,6,29,18,680
Friday,6,29,19,376
Friday,6,29,20,270
Friday,6,29,21,186
Friday,6,29,22,134
Friday,6,29,23,101
Friday,7,6,0,20
Friday,7,6,1,8
Friday,7,6,2,7
Friday,7,6,3,2
Friday,7,6,4,7
Friday,7,6,5,30
Friday,7,6,6,113
Friday,7,6,7,326
Friday,7,6,8,674
Friday,7,6,9,532
Friday,7,6,10,342
Friday,7,6,11,320
Friday,7,6,12,266
Friday,7,6,13,318
Friday,7,6,14,277
Friday,7,6,15,340
Friday,7,6,16,539
Friday,7,6,17,776
Friday,7,6,18,616
Friday,7,6,19,389
Friday,7,6,20,242
Friday,7,6,21,222
Friday,7,6,22,146
Friday,7,6,23,106
Friday,7,13,0,43
Friday,7,13,1,18
Friday,7,13,2,17
Friday,7,13,3,10
Friday,7,13,4,16
Friday,7,13,5,40
Friday,7,13,6,160
Friday,7,13,7,415
Friday,7,13,8,956
Friday,7,13,9,658
Friday,7,13,10,584
Friday,7,13,12,614
Friday,7,13,14,303
Friday,7,13,15,349
Friday,7,13,16,619
Friday,7,13,17,934
Friday,7,13,18,694
Friday,7,13,19,414
Friday,7,13,20,240
Friday,7,13,21,195
Friday,7,13,22,151
Friday,7,13,23,102
Friday,7,20,0,46
Friday,7,20,1,31
Friday,7,20,2,5
Friday,7,20,3,1
Friday,7,20,4,19
Friday,7,20,5,53
Friday,7,20,6,165
Friday,7,20,7,435
Friday,7,20,8,822
Friday,7,20,9,677
Friday,7,20,10,309
Friday,7,20,11,540
Friday,7,20,13,303
Friday,7,20,14,292
Friday,7,20,15,356
Friday,7,20,16,609
Friday,7,20,17,915
Friday,7,20,18,675
