day_name_end,month_end,day_end,hour_end,return_for_next_hour
Friday,1,5,0,11
Friday,1,5,1,2
Friday,1,5,2,3
Friday,1,5,3,1
Friday,1,5,4,3
Friday,1,5,5,15
Friday,1,5,6,53
Friday,1,5,7,145
Friday,1,5,8,270
Friday,1,5,9,234
Friday,1,5,10,201
Friday,1,5,11,33
Friday,1,5,12,44
Friday,1,5,13,81
Friday,1,5,14,85
Friday,1,5,15,194
Friday,1,5,16,76
Friday,1,5,17,286
Friday,1,5,18,373
Friday,1,5,19,44
Friday,1,5,20,49
Friday,1,5,21,25
Friday,1,5,22,29
Friday,1,5,23,5
Friday,1,12,0,16
Friday,1,12,1,6
Friday,1,12,4,2
Friday,1,12,5,20
Friday,1,12,6,67
Friday,1,12,7,370
Friday,1,12,8,156
Friday,1,12,9,664
Friday,1,12,10,90
Friday,1,12,11,127
Friday,1,12,12,343
Friday,1,12,13,71
Friday,1,12,14,124
Friday,1,12,15,324
Friday,1,12,16,353
Friday,1,12,17,70
Friday,1,12,18,288
Friday,1,12,19,194
Friday,1,12,20,184
Friday,1,12,21,34
Friday,1,12,22,40
Friday,1,12,23,48
Friday,1,19,0,4
Friday,1,19,1,8
Friday,1,19,2,2
Friday,1,19,4,6
Friday,1,19,5,17
Friday,1,19,6,68
Friday,1,19,7,196
Friday,1,19,8,494
Friday,1,19,9,460
Friday,1,19,10,186
Friday,1,19,11,159
Friday,1,19,12,197
Friday,1,19,13,158
Friday,1,19,14,132
Friday,1,19,15,174
Friday,1,19,16,256
Friday,1,19,17,478
Friday,1,19,18,383
Friday,1,19,19,195
Friday,1,19,20,78
Friday,1,19,21,65
Friday,1,19,22,67
Friday,1,19,23,41
Friday,1,26,0,21
Friday,1,26,1,10
Friday,1,26,2,4
Friday,1,26,3,2
Friday,1,26,4,7
Friday,1,26,5,18
Friday,1,26,6,68
Friday,1,26,7,214
Friday,1,26,8,449
Friday,1,26,9,480
Friday,1,26,10,214
Friday,1,26,11,154
Friday,1,26,12,168
Friday,1,26,13,167
Friday,1,26,14,129
Friday,1,26,15,172
Friday,1,26,16,298
Friday,1,26,17,471
Friday,1,26,18,361
Friday,1,26,19,177
Friday,1,26,20,93
Friday,1,26,21,59
Friday,1,26,22,55
Friday,1,26,23,50
Friday,2,2,0,21
Friday,2,2,1,9
Friday,2,2,2,9
Friday,2,2,4,6
Friday,2,2,5,16
Friday,2,2,6,74
Friday,2,2,7,230
Friday,2,2,8,555
Friday,2,2,9,519
Friday,2,2,10,223
Friday,2,2,11,176
Friday,2,2,12,205
Friday,2,2,13,178
Friday,2,2,14,188
Friday,2,2,15,206
Friday,2,2,16,367
Friday,2,2,17,530
Friday,2,2,18,403
Friday,2,2,19,233
Friday,2,2,20,138
Friday,2,2,21,117
Friday,2,2,22,87
Friday,2,2,23,79
Friday,2,9,0,27
Friday,2,9,1,5
Friday,2,9,2,5
Friday,2,9,3,2
Friday,2,9,4,5
Friday,2,9,5,22
Friday,2,9,6,89
Friday,2,9,7,221
Friday,2,9,8,582
Friday,2,9,9,567
Friday,2,9,10,254
Friday,2,9,11,174
Friday,2,9,12,243
Friday,2,9,13,222
Friday,2,9,14,196
Friday,2,9,15,265
Friday,2,9,16,363
Friday,2,9,17,560
Friday,2,9,18,429
Friday,2,9,19,225
Friday,2,9,20,144
Friday,2,9,21,113
Friday,2,9,22,82
Friday,2,9,23,64
Friday,2,16,0,25
Friday,2,16,1,10
Friday,2,16,2,9
Friday,2,16,3,1
Friday,2,16,4,3
Friday,2,16,5,15
Friday,2,16,6,62
Friday,2,16,7,222
Friday,2,16,8,458
Friday,2,16,9,469
Friday,2,16,10,248
Friday,2,16,11,198
Friday,2,16,12,201
Friday,2,16,13,218
Friday,2,16,14,202
Friday,2,16,15,209
Friday,2,16,16,412
Friday,2,16,17,536
Friday,2,16,18,393
Friday,2,16,19,194
Friday,2,16,20,107
Friday,2,16,21,70
Friday,2,16,22,66
Friday,2,16,23,40
Friday,2,23,0,15
Friday,2,23,1,9
Friday,2,23,2,5
Friday,2,23,4,6
Friday,2,23,5,19
Friday,2,23,6,76
Friday,2,23,7,207
Friday,2,23,8,481
Friday,2,23,9,426
Friday,2,23,10,196
Friday,2,23,11,137
Friday,2,23,12,178
Friday,2,23,13,151
Friday,2,23,14,144
Friday,2,23,15,189
Friday,2,23,16,282
Friday,2,23,17,457
Friday,2,23,18,350
Friday,2,23,19,182
Friday,2,23,20,120
Friday,2,23,21,93
Friday,2,23,22,62
Friday,2,23,23,44
Friday,3,2,0,15
Friday,3,2,1,2
Friday,3,2,2,2
Friday,3,2,3,4
Friday,3,2,4,6
Friday,3,2,5,12
Friday,3,2,6,65
Friday,3,2,7,169
Friday,3,2,8,430
Friday,3,2,9,372
Friday,3,2,10,164
Friday,3,2,11,141
Friday,3,2,12,155
Friday,3,2,13,68
Friday,3,2,14,145
Friday,3,2,15,53
Friday,3,2,16,113
Friday,3,2,17,263
Friday,3,2,18,253
Friday,3,2,19,117
Friday,3,2,20,88
Friday,3,2,21,48
Friday,3,2,22,72
Friday,3,2,23,7
Friday,3,9,0,23
Friday,3,9,1,12
Friday,3,9,2,7
Friday,3,9,3,1
Friday,3,9,4,7
Friday,3,9,5,15
Friday,3,9,6,76
Friday,3,9,7,237
Friday,3,9,8,516
Friday,3,9,9,832
Friday,3,9,10,93
Friday,3,9,11,120
Friday,3,9,12,232
Friday,3,9,13,207
Friday,3,9,14,148
Friday,3,9,15,208
Friday,3,9,16,646
Friday,3,9,17,611
Friday,3,9,18,415
Friday,3,9,19,203
Friday,3,9,20,17
Friday,3,9,21,68
Friday,3,9,22,83
Friday,3,9,23,61
Friday,3,16,0,11
Friday,3,16,1,7
Friday,3,16,2,6
Friday,3,16,3,4
Friday,3,16,5,15
Friday,3,16,6,52
Friday,3,16,7,129
Friday,3,16,8,313
Friday,3,16,9,327
Friday,3,16,10,319
Friday,3,16,11,52
Friday,3,16,12,124
Friday,3,16,13,289
Friday,3,16,14,193
Friday,3,16,15,32
Friday,3,16,16,244
Friday,3,16,17,508
Friday,3,16,18,405
Friday,3,16,19,217
Friday,3,16,20,120
Friday,3,16,21,115
Friday,3,16,22,78
Friday,3,16,23,33
Friday,3,23,0,16
Friday,3,23,1,10
Friday,3,23,2,5
Friday,3,23,3,4
Friday,3,23,4,6
Friday,3,23,5,14
Friday,3,23,6,59
Friday,3,23,7,197
Friday,3,23,8,496
Friday,3,23,9,481
Friday,3,23,10,231
Friday,3,23,11,169
Friday,3,23,12,208
Friday,3,23,13,216
Friday,3,23,14,172
Friday,3,23,15,196
Friday,3,23,16,334
Friday,3,23,17,527
