day_name,month,day,hour,max_temp,min_temp,precip,demand
Friday,1,5,2,14.4,14.4,0.0,3
Friday,1,5,5,15.0,15.0,0.0,1
Friday,1,5,6,13.9,13.9,1.0,3
Friday,1,5,7,15.0,15.0,0.0,7
Friday,1,5,8,14.4,14.4,0.0,15
Friday,1,5,9,15.0,15.0,0.0,13
Friday,1,5,10,14.4,14.4,0.0,20
Friday,1,5,12,14.4,14.4,0.0,11
Friday,1,5,13,14.4,14.4,0.0,19
Friday,1,5,14,14.4,14.4,0.0,20
Friday,1,5,15,13.9,13.9,0.0,26
Friday,1,5,15,14.4,14.4,0.0,26
Friday,1,5,17,15.0,15.0,0.0,26
Friday,1,5,18,14.4,14.4,1.0,18
Friday,1,5,18,15.0,14.4,1.0,18
Friday,1,5,20,15.6,15.0,1.0,4
Friday,1,5,20,15.6,15.6,1.0,4
Friday,1,5,21,15.6,15.0,1.0,2
Friday,1,5,22,13.3,13.3,0.0,4
Friday,1,12,0,14.4,14.4,0.0,4
Friday,1,12,1,13.9,13.9,0.0,1
Friday,1,12,5,11.1,11.1,0.0,4
Friday,1,12,6,11.1,11.1,0.0,7
Friday,1,12,7,10.6,10.6,0.0,16
Friday,1,12,7,11.1,11.1,0.0,16
Friday,1,12,9,10.6,9.4,0.0,26
Friday,1,12,9,10.6,10.6,0.0,26
Friday,1,12,11,10.6,10.6,0.0,35
Friday,1,12,12,10.6,10.6,0.0,72
Friday,1,12,14,10.0,10.0,0.0,36
Friday,1,12,15,10.0,10.0,0.0,68
Friday,1,12,16,10.0,10.0,0.0,50
Friday,1,12,18,10.6,10.6,0.0,35
Friday,1,12,19,10.6,10.6,0.0,21
Friday,1,12,20,10.0,10.0,0.0,11
Friday,1,12,20,11.7,11.1,0.0,11
Friday,1,12,22,12.8,12.8,0.0,2
Friday,1,12,23,13.3,13.3,0.0,6
Friday,1,19,1,12.2,12.2,1.0,6
Friday,1,19,4,10.6,10.6,1.0,2
Friday,1,19,6,11.1,11.1,0.0,8
Friday,1,19,7,11.1,11.1,0.0,12
Friday,1,19,8,11.1,11.1,0.0,32
Friday,1,19,9,11.1,11.1,0.0,26
Friday,1,19,10,10.6,10.6,0.0,26
Friday,1,19,11,10.0,10.0,0.0,29
