day_name,month,day,hour,demand
Friday,1,5,2,3
Friday,1,5,5,1
Friday,1,5,6,3
Friday,1,5,7,7
Friday,1,5,8,15
Friday,1,5,9,13
Friday,1,5,10,20
Friday,1,5,12,11
Friday,1,5,13,19
Friday,1,5,14,20
Friday,1,5,15,52
Friday,1,5,17,26
Friday,1,5,18,36
Friday,1,5,20,8
Friday,1,5,21,2
Friday,1,5,22,4
Friday,1,12,0,4
Friday,1,12,1,1
Friday,1,12,5,4
Friday,1,12,6,7
Friday,1,12,7,32
Friday,1,12,9,52
Friday,1,12,11,35
Friday,1,12,12,72
Friday,1,12,14,36
Friday,1,12,15,68
Friday,1,12,16,50
Friday,1,12,18,35
Friday,1,12,19,21
Friday,1,12,20,22
Friday,1,12,22,2
Friday,1,12,23,6
Friday,1,19,1,6
Friday,1,19,4,2
Friday,1,19,6,8
Friday,1,19,7,12
Friday,1,19,8,32
Friday,1,19,9,26
Friday,1,19,10,26
Friday,1,19,11,29
Friday,1,19,12,26
Friday,1,19,13,38
Friday,1,19,14,28
Friday,1,19,15,33
Friday,1,19,16,43
Friday,1,19,17,29
Friday,1,19,18,32
Friday,1,19,19,10
Friday,1,19,20,7
Friday,1,19,21,6
Friday,1,19,22,10
Friday,1,19,23,6
Friday,1,26,0,4
Friday,1,26,1,5
Friday,1,26,2,1
Friday,1,26,3,1
Friday,1,26,6,7
Friday,1,26,7,13
Friday,1,26,8,33
Friday,1,26,9,34
Friday,1,26,10,30
Friday,1,26,11,25
Friday,1,26,12,22
Friday,1,26,13,17
Friday,1,26,14,16
Friday,1,26,15,40
Friday,1,26,16,31
Friday,1,26,17,43
Friday,1,26,18,26
Friday,1,26,19,15
Friday,1,26,20,9
Friday,1,26,21,8
Friday,1,26,22,2
Friday,1,26,23,7
Friday,2,2,0,2
Friday,2,2,1,3
Friday,2,2,2,2
Friday,2,2,5,1
Friday,2,2,6,6
Friday,2,2,7,20
Friday,2,2,8,41
Friday,2,2,9,35
Friday,2,2,10,29
Friday,2,2,11,35
Friday,2,2,12,39
Friday,2,2,13,25
Friday,2,2,14,38
Friday,2,2,15,43
Friday,2,2,16,56
Friday,2,2,17,56
Friday,2,2,18,41
Friday,2,2,19,28
Friday,2,2,20,13
Friday,2,2,21,22
Friday,2,2,22,19
Friday,2,2,23,12
Friday,2,9,0,1
Friday,2,9,4,1
Friday,2,9,5,1
Friday,2,9,6,11
Friday,2,9,7,17
Friday,2,9,8,58
Friday,2,9,9,44
Friday,2,9,10,41
Friday,2,9,11,60
Friday,2,9,12,48
Friday,2,9,13,53
Friday,2,9,14,54
Friday,2,9,15,54
Friday,2,9,16,70
Friday,2,9,17,66
Friday,2,9,18,52
Friday,2,9,19,39
Friday,2,9,20,22
Friday,2,9,21,15
Friday,2,9,22,12
Friday,2,9,23,10
Friday,2,16,0,4
Friday,2,16,1,3
Friday,2,16,3,1
Friday,2,16,6,5
Friday,2,16,7,10
Friday,2,16,8,35
Friday,2,16,9,33
Friday,2,16,10,38
Friday,2,16,11,44
Friday,2,16,12,36
Friday,2,16,13,51
Friday,2,16,14,49
Friday,2,16,15,53
Friday,2,16,16,71
Friday,2,16,17,56
Friday,2,16,18,43
Friday,2,16,19,26
Friday,2,16,20,11
Friday,2,16,21,3
Friday,2,16,22,5
Friday,2,16,23,3
Friday,2,23,1,1
Friday,2,23,5,1
Friday,2,23,6,5
Friday,2,23,7,14
Friday,2,23,8,32
Friday,2,23,9,25
Friday,2,23,10,16
Friday,2,23,11,24
Friday,2,23,12,25
Friday,2,23,13,37
Friday,2,23,14,29
Friday,2,23,15,27
Friday,2,23,16,42
Friday,2,23,17,41
Friday,2,23,18,25
Friday,2,23,19,9
Friday,2,23,20,7
Friday,2,23,21,14
Friday,2,23,22,8
Friday,2,23,23,4
Friday,3,2,0,2
Friday,3,2,2,1
Friday,3,2,3,2
Friday,3,2,5,1
Friday,3,2,6,4
Friday,3,2,7,12
Friday,3,2,8,28
Friday,3,2,9,10
Friday,3,2,10,14
Friday,3,2,11,25
Friday,3,2,12,10
Friday,3,2,13,7
Friday,3,2,14,36
Friday,3,2,16,7
Friday,3,2,17,14
Friday,3,2,18,16
Friday,3,2,19,10
Friday,3,2,20,7
Friday,3,2,21,4
Friday,3,2,22,12
Friday,3,9,0,3
Friday,3,9,1,3
Friday,3,9,5,1
Friday,3,9,6,8
Friday,3,9,7,18
Friday,3,9,8,33
Friday,3,9,9,46
Friday,3,9,11,45
Friday,3,9,12,37
Friday,3,9,13,37
Friday,3,9,14,40
Friday,3,9,15,53
Friday,3,9,16,92
Friday,3,9,17,58
Friday,3,9,18,28
Friday,3,9,19,20
Friday,3,9,21,5
Friday,3,9,22,36
Friday,3,9,23,6
Friday,3,16,0,2
Friday,3,16,1,2
Friday,3,16,5,2
Friday,3,16,6,6
Friday,3,16,7,9
Friday,3,16,8,16
Friday,3,16,9,11
Friday,3,16,10,40
Friday,3,16,12,21
Friday,3,16,13,90
Friday,3,16,14,37
Friday,3,16,16,32
Friday,3,16,17,66
Friday,3,16,18,44
Friday,3,16,19,17
Friday,3,16,20,14
Friday,3,16,21,21
Friday,3,16,22,19
Friday,3,16,23,12
Friday,3,23,0,1
Friday,3,23,1,1
Friday,3,23,3,2
Friday,3,23,6,4
