day_name,month,day,hour,demand
Friday,1,5,0,7
Friday,1,5,1,2
Friday,1,5,2,1
Friday,1,5,4,4
Friday,1,5,5,17
Friday,1,5,6,58
Friday,1,5,7,174
Friday,1,5,8,242
Friday,1,5,9,212
Friday,1,5,10,192
Friday,1,5,12,47
Friday,1,5,13,71
Friday,1,5,14,63
Friday,1,5,15,206
Friday,1,5,17,304
Friday,1,5,18,326
Friday,1,5,20,50
Friday,1,5,21,15
Friday,1,5,22,27
Friday,1,12,0,12
Friday,1,12,1,1
Friday,1,12,3,1
Friday,1,12,4,3
Friday,1,12,5,18
Friday,1,12,6,70
Friday,1,12,7,484
Friday,1,12,9,700
Friday,1,12,11,127
Friday,1,12,12,314
Friday,1,12,14,124
Friday,1,12,15,308
Friday,1,12,16,285
Friday,1,12,18,293
Friday,1,12,19,155
Friday,1,12,20,170
Friday,1,12,22,44
Friday,1,12,23,41
Friday,1,19,1,4
Friday,1,19,3,2
Friday,1,19,4,4
Friday,1,19,5,21
Friday,1,19,6,77
Friday,1,19,7,231
Friday,1,19,8,509
Friday,1,19,9,371
Friday,1,19,10,147
Friday,1,19,11,140
Friday,1,19,12,154
Friday,1,19,13,127
Friday,1,19,14,98
Friday,1,19,15,153
Friday,1,19,16,240
Friday,1,19,17,468
Friday,1,19,18,314
Friday,1,19,19,147
Friday,1,19,20,69
Friday,1,19,21,62
Friday,1,19,22,56
Friday,1,19,23,27
Friday,1,26,0,14
Friday,1,26,1,4
Friday,1,26,2,4
Friday,1,26,4,7
Friday,1,26,5,22
Friday,1,26,6,78
Friday,1,26,7,245
Friday,1,26,8,453
Friday,1,26,9,407
Friday,1,26,10,163
Friday,1,26,11,133
Friday,1,26,12,146
Friday,1,26,13,139
Friday,1,26,14,118
Friday,1,26,15,152
Friday,1,26,16,286
Friday,1,26,17,429
Friday,1,26,18,302
Friday,1,26,19,138
Friday,1,26,20,69
Friday,1,26,21,55
Friday,1,26,22,54
Friday,1,26,23,39
Friday,2,2,0,14
Friday,2,2,1,10
Friday,2,2,2,5
Friday,2,2,3,2
Friday,2,2,4,4
Friday,2,2,5,17
Friday,2,2,6,88
Friday,2,2,7,255
Friday,2,2,8,560
Friday,2,2,9,421
Friday,2,2,10,171
Friday,2,2,11,145
Friday,2,2,12,173
Friday,2,2,13,150
Friday,2,2,14,153
Friday,2,2,15,184
Friday,2,2,16,340
Friday,2,2,17,476
Friday,2,2,18,331
Friday,2,2,19,174
Friday,2,2,20,121
Friday,2,2,21,98
Friday,2,2,22,55
Friday,2,2,23,59
Friday,2,9,0,22
Friday,2,9,1,5
Friday,2,9,2,4
Friday,2,9,3,3
Friday,2,9,4,5
Friday,2,9,5,24
Friday,2,9,6,105
Friday,2,9,7,261
Friday,2,9,8,566
Friday,2,9,9,461
Friday,2,9,10,191
Friday,2,9,11,152
Friday,2,9,12,166
Friday,2,9,13,162
Friday,2,9,14,168
Friday,2,9,15,214
Friday,2,9,16,334
Friday,2,9,17,474
Friday,2,9,18,335
Friday,2,9,19,176
Friday,2,9,20,107
Friday,2,9,21,91
Friday,2,9,22,66
Friday,2,9,23,47
Friday,2,16,0,21
Friday,2,16,1,8
Friday,2,16,2,4
Friday,2,16,3,1
Friday,2,16,4,4
Friday,2,16,5,18
Friday,2,16,6,77
Friday,2,16,7,242
Friday,2,16,8,479
Friday,2,16,9,381
Friday,2,16,10,201
Friday,2,16,11,157
Friday,2,16,12,166
Friday,2,16,13,163
Friday,2,16,14,147
Friday,2,16,15,185
Friday,2,16,16,355
Friday,2,16,17,490
Friday,2,16,18,302
Friday,2,16,19,154
Friday,2,16,20,85
Friday,2,16,21,59
Friday,2,16,22,66
Friday,2,16,23,21
Friday,2,23,0,15
Friday,2,23,1,10
Friday,2,23,2,3
Friday,2,23,3,2
Friday,2,23,4,7
Friday,2,23,5,17
Friday,2,23,6,88
Friday,2,23,7,237
Friday,2,23,8,487
Friday,2,23,9,342
Friday,2,23,10,160
Friday,2,23,11,123
Friday,2,23,12,150
Friday,2,23,13,119
Friday,2,23,14,114
Friday,2,23,15,175
Friday,2,23,16,262
Friday,2,23,17,417
Friday,2,23,18,296
Friday,2,23,19,162
Friday,2,23,20,99
Friday,2,23,21,76
Friday,2,23,22,45
Friday,2,23,23,43
Friday,3,2,0,12
Friday,3,2,2,3
Friday,3,2,3,2
Friday,3,2,4,6
Friday,3,2,5,12
Friday,3,2,6,74
Friday,3,2,7,188
Friday,3,2,8,455
Friday,3,2,9,297
Friday,3,2,10,140
Friday,3,2,11,124
Friday,3,2,12,136
Friday,3,2,13,46
Friday,3,2,14,152
Friday,3,2,16,136
Friday,3,2,17,266
Friday,3,2,18,221
Friday,3,2,19,88
Friday,3,2,20,79
Friday,3,2,21,44
Friday,3,2,22,60
Friday,3,9,0,20
Friday,3,9,1,8
Friday,3,9,2,5
Friday,3,9,3,1
Friday,3,9,4,8
Friday,3,9,5,15
Friday,3,9,6,84
Friday,3,9,7,276
Friday,3,9,8,525
Friday,3,9,9,772
Friday,3,9,11,119
Friday,3,9,12,189
Friday,3,9,13,156
Friday,3,9,14,116
Friday,3,9,15,176
Friday,3,9,16,672
Friday,3,9,17,464
Friday,3,9,18,337
Friday,3,9,19,156
Friday,3,9,21,72
Friday,3,9,22,68
Friday,3,9,23,40
Friday,3,16,0,7
Friday,3,16,1,6
Friday,3,16,2,4
Friday,3,16,3,4
Friday,3,16,5,16
Friday,3,16,6,56
Friday,3,16,7,153
Friday,3,16,8,341
Friday,3,16,9,261
Friday,3,16,10,296
Friday,3,16,12,144
Friday,3,16,13,222
Friday,3,16,14,135
Friday,3,16,16,269
Friday,3,16,17,457
Friday,3,16,18,341
Friday,3,16,19,165
Friday,3,16,20,97
Friday,3,16,21,90
Friday,3,16,22,44
Friday,3,16,23,25
Friday,3,23,0,14
Friday,3,23,1,8
Friday,3,23,2,4
Friday,3,23,3,3
Friday,3,23,4,7
Friday,3,23,5,14
Friday,3,23,6,69
Friday,3,23,7,241
Friday,3,23,8,503
Friday,3,23,9,396
Friday,3,23,10,172
Friday,3,23,11,139
Friday,3,23,12,156
Friday,3,23,13,153
Friday,3,23,14,129
Friday,3,23,15,185
Friday,3,23,16,310
Friday,3,23,17,464
Friday,3,23,18,277
Friday,3,23,19,192
Friday,3,23,20,118
Friday,3,23,21,61
Friday,3,23,22,48
Friday,3,23,23,41
Friday,3,30,0,18
Friday,3,30,1,10
Friday,3,30,2,8
Friday,3,30,3,4
Friday,3,30,4,4
Friday,3,30,5,21
Friday,3,30,6,77
Friday,3,30,7,219
Friday,3,30,8,555
Friday,3,30,9,453
Friday,3,30,10,197
Friday,3,30,11,139
Friday,3,30,12,161
Friday,3,30,13,153
Friday,3,30,14,130
Friday,3,30,15,200
Friday,3,30,16,290
Friday,3,30,17,451
Friday,3,30,18,308
Friday,3,30,19,181
Friday,3,30,20,102
Friday,3,30,21,92
Friday,3,30,22,66
Friday,3,30,23,53
Friday,4,6,0,5
Friday,4,6,1,1
Friday,4,6,2,1
Friday,4,6,3,3
Friday,4,6,4,5
Friday,4,6,5,4
Friday,4,6,6,32
Friday,4,6,7,96
Friday,4,6,8,233
Friday,4,6,10,106
Friday,4,6,12,32
Friday,4,6,13,60
Friday,4,6,14,45
Friday,4,6,16,77
Friday,4,6,17,222
Friday,4,6,19,90
Friday,4,6,21,17
Friday,4,6,22,28
Friday,4,13,0,14
Friday,4,13,1,7
Friday,4,13,2,8
Friday,4,13,3,3
Friday,4,13,4,6
Friday,4,13,5,23
Friday,4,13,6,78
Friday,4,13,7,241
Friday,4,13,8,555
Friday,4,13,9,413
Friday,4,13,10,180
Friday,4,13,11,145
Friday,4,13,12,160
Friday,4,13,13,163
Friday,4,13,14,182
Friday,4,13,15,191
Friday,4,13,16,345
Friday,4,13,17,478
Friday,4,13,18,404
Friday,4,13,19,211
Friday,4,13,20,135
Friday,4,13,21,75
Friday,4,13,22,68
Friday,4,13,23,54
Friday,4,20,0,11
Friday,4,20,1,11
Friday,4,20,2,4
Friday,4,20,3,5
Friday,4,20,4,6
Friday,4,20,5,18
Friday,4,20,6,71
Friday,4,20,7,256
Friday,4,20,8,530
Friday,4,20,9,434
Friday,4,20,10,189
Friday,4,20,11,155
Friday,4,20,12,144
Friday,4,20,13,164
Friday,4,20,14,156
Friday,4,20,15,209
Friday,4,20,16,314
Friday,4,20,17,502
Friday,4,20,18,353
Friday,4,20,19,162
Friday,4,20,20,78
Friday,4,20,21,104
Friday,4,20,22,67
Friday,4,20,23,50
Friday,4,27,0,26
Friday,4,27,1,12
Friday,4,27,2,4
Friday,4,27,3,6
Friday,4,27,4,6
Friday,4,27,5,21
Friday,4,27,6,97
Friday,4,27,7,303
Friday,4,27,8,1226
Friday,4,27,9,532
Friday,4,27,11,205
Friday,4,27,12,214
Friday,4,27,13,193
Friday,4,27,14,212
Friday,4,27,15,238
Friday,4,27,16,432
Friday,4,27,17,670
Friday,4,27,18,374
Friday,4,27,19,246
Friday,4,27,20,145
Friday,4,27,21,107
Friday,4,27,22,109
Friday,4,27,23,76
Friday,5,4,0,27
Friday,5,4,1,16
Friday,5,4,2,3
Friday,5,4,3,7
Friday,5,4,4,9
Friday,5,4,5,30
Friday,5,4,6,101
Friday,5,4,7,344
Friday,5,4,8,650
Friday,5,4,9,541
Friday,5,4,10,261
Friday,5,4,11,201
Friday,5,4,12,248
Friday,5,4,13,230
Friday,5,4,14,200
Friday,5,4,15,289
Friday,5,4,16,429
Friday,5,4,17,637
Friday,5,4,18,442
Friday,5,4,19,271
Friday,5,4,20,138
Friday,5,4,21,135
Friday,5,4,22,89
Friday,5,4,23,70
Friday,5,11,0,38
Friday,5,11,1,5
Friday,5,11,2,9
Friday,5,11,3,8
Friday,5,11,4,11
Friday,5,11,5,29
Friday,5,11,6,113
Friday,5,11,7,368
Friday,5,11,8,684
Friday,5,11,9,565
Friday,5,11,10,225
Friday,5,11,11,204
Friday,5,11,12,251
Friday,5,11,13,240
Friday,5,11,14,215
Friday,5,11,15,286
Friday,5,11,16,448
Friday,5,11,17,682
Friday,5,11,18,426
Friday,5,11,19,286
Friday,5,11,20,162
Friday,5,11,21,138
Friday,5,11,22,97
Friday,5,11,23,70
Friday,5,18,0,20
Friday,5,18,1,10
Friday,5,18,2,2
Friday,5,18,3,6
Friday,5,18,4,7
Friday,5,18,5,29
Friday,5,18,6,95
Friday,5,18,7,622
Friday,5,18,9,456
Friday,5,18,10,241
Friday,5,18,11,221
Friday,5,18,12,261
Friday,5,18,13,234
Friday,5,18,14,212
Friday,5,18,15,546
Friday,5,18,17,657
Friday,5,18,18,514
Friday,5,18,19,272
Friday,5,18,20,176
Friday,5,18,21,118
Friday,5,18,22,91
Friday,5,18,23,62
Friday,5,25,0,38
Friday,5,25,1,7
Friday,5,25,2,7
Friday,5,25,3,6
Friday,5,25,4,7
Friday,5,25,5,19
Friday,5,25,6,88
Friday,5,25,7,276
Friday,5,25,8,626
Friday,5,25,9,483
Friday,5,25,10,230
Friday,5,25,11,496
Friday,5,25,13,230
Friday,5,25,14,230
Friday,5,25,15,314
Friday,5,25,16,441
Friday,5,25,17,581
Friday,5,25,18,415
Friday,5,25,19,278
Friday,5,25,20,163
Friday,5,25,21,114
Friday,5,25,22,102
Friday,5,25,23,56
Friday,6,1,0,31
Friday,6,1,1,10
Friday,6,1,2,3
Friday,6,1,3,2
Friday,6,1,4,7
Friday,6,1,5,41
Friday,6,1,6,122
Friday,6,1,7,359
Friday,6,1,8,713
Friday,6,1,9,574
Friday,6,1,10,256
Friday,6,1,11,229
Friday,6,1,12,280
Friday,6,1,13,227
Friday,6,1,14,192
Friday,6,1,15,300
Friday,6,1,16,510
Friday,6,1,17,751
Friday,6,1,18,549
Friday,6,1,19,302
Friday,6,1,20,204
Friday,6,1,21,151
Friday,6,1,22,114
Friday,6,1,23,109
Friday,6,8,0,18
Friday,6,8,1,9
Friday,6,8,2,6
Friday,6,8,3,5
Friday,6,8,4,10
Friday,6,8,5,36
Friday,6,8,6,109
Friday,6,8,7,394
Friday,6,8,8,747
Friday,6,8,9,566
Friday,6,8,10,272
Friday,6,8,11,208
Friday,6,8,12,269
Friday,6,8,13,225
Friday,6,8,14,182
Friday,6,8,15,337
Friday,6,8,16,490
Friday,6,8,17,713
Friday,6,8,18,452
Friday,6,8,19,246
Friday,6,8,20,190
Friday,6,8,21,144
Friday,6,8,22,101
Friday,6,8,23,66
Friday,6,15,0,28
Friday,6,15,1,7
Friday,6,15,2,7
Friday,6,15,3,3
Friday,6,15,4,9
Friday,6,15,5,42
Friday,6,15,6,130
Friday,6,15,7,370
Friday,6,15,8,789
Friday,6,15,9,605
Friday,6,15,10,285
Friday,6,15,11,223
Friday,6,15,12,478
Friday,6,15,14,215
Friday,6,15,15,288
Friday,6,15,16,474
Friday,6,15,17,694
Friday,6,15,18,499
Friday,6,15,19,279
Friday,6,15,20,159
Friday,6,15,21,108
Friday,6,15,22,97
Friday,6,15,23,79
Friday,6,22,0,37
Friday,6,22,1,21
Friday,6,22,2,13
Friday,6,22,3,10
Friday,6,22,4,11
Friday,6,22,5,41
Friday,6,22,6,123
Friday,6,22,7,411
Friday,6,22,8,766
Friday,6,22,9,604
Friday,6,22,10,271
Friday,6,22,11,219
Friday,6,22,12,261
Friday,6,22,13,207
Friday,6,22,14,236
Friday,6,22,15,300
Friday,6,22,16,449
Friday,6,22,17,750
Friday,6,22,18,529
Friday,6,22,19,337
Friday,6,22,20,196
Friday,6,22,21,145
Friday,6,22,22,117
Friday,6,22,23,69
Friday,6,29,0,30
Friday,6,29,1,8
Friday,6,29,2,4
Friday,6,29,3,3
Friday,6,29,4,5
Friday,6,29,5,42
Friday,6,29,6,142
Friday,6,29,7,402
Friday,6,29,8,814
Friday,6,29,9,604
Friday,6,29,10,249
Friday,6,29,11,225
Friday,6,29,12,254
Friday,6,29,13,250
Friday,6,29,14,249
Friday,6,29,15,310
Friday,6,29,16,499
Friday,6,29,17,758
Friday,6,29,18,558
Friday,6,29,19,303
Friday,6,29,20,212
Friday,6,29,21,147
Friday,6,29,22,108
Friday,6,29,23,84
Friday,7,6,0,17
Friday,7,6,1,8
Friday,7,6,2,4
Friday,7,6,3,2
Friday,7,6,4,7
Friday,7,6,5,27
Friday,7,6,6,102
Friday,7,6,7,317
Friday,7,6,8,623
Friday,7,6,9,486
Friday,7,6,10,235
Friday,7,6,11,215
Friday,7,6,12,192
Friday,7,6,13,231
Friday,7,6,14,206
Friday,7,6,15,254
Friday,7,6,16,424
Friday,7,6,17,635
Friday,7,6,18,510
Friday,7,6,19,303
Friday,7,6,20,192
Friday,7,6,21,162
Friday,7,6,22,103
Friday,7,6,23,84
Friday,7,13,0,42
Friday,7,13,1,13
Friday,7,13,2,15
Friday,7,13,3,10
Friday,7,13,4,16
Friday,7,13,5,38
Friday,7,13,6,145
Friday,7,13,7,390
Friday,7,13,8,890
Friday,7,13,9,609
Friday,7,13,10,478
Friday,7,13,12,486
Friday,7,13,14,218
Friday,7,13,15,262
Friday,7,13,16,488
Friday,7,13,17,788
Friday,7,13,18,545
Friday,7,13,19,347
Friday,7,13,20,195
Friday,7,13,21,159
Friday,7,13,22,114
Friday,7,13,23,68
Friday,7,20,0,41
Friday,7,20,1,29
Friday,7,20,2,4
Friday,7,20,3,1
Friday,7,20,4,18
Friday,7,20,5,52
Friday,7,20,6,145
Friday,7,20,7,403
Friday,7,20,8,765
Friday,7,20,9,610
Friday,7,20,10,253
Friday,7,20,11,402
Friday,7,20,13,231
Friday,7,20,14,212
Friday,7,20,15,273
Friday,7,20,16,501
Friday,7,20,17,744
Friday,7,20,18,572
Friday,7,20,19,336
